query_id,query_text
177,women yoga wear
152,formal vest men
455,designer engagement ring
272,ethnic zardozi work
420,women branded loafers casual
16,perfume for men
310,kid branded school bag
416,baby branded bouncer seat
241,baby branded romper
254,ethnic border work
498,baby branded baby bath tub
245,pickup basketball shoes
401,baby branded nursing pillow
487,pickup track racing flats
160,baby casual wear
238,ethnic resin jewelry
195,ethnic topi
247,ethnic paisley print
52,ankle jeans for women
253,women branded blazer
472,pickup turf shoes
479,ethnic mathapatti
196,lounger shorts men
22,casual shorts
369,ethnic silver jewelry box
292,designer vanity bag
410,designer nose pin
73,formal blazer men
486,ethnic hathphool complete
437,kid branded astronaut helmet
85,designer perfume women
249,baby branded gift set
124,baby onesie
84,home furnishings
223,home cotton textiles
216,baby branded shoes
69,office wear women
212,ethnic lehenga choli
11,winter jacket
140,casual wear men
382,pickup weightlifting shoes
109,sports bra
359,ethnic polka jewelry
228,kid branded jeans
388,designer stud bracelet
377,kid branded magic wand
351,ethnic jadau jewelry
4,white sneakers
263,home decorative vases
409,home recessed lights
439,home track lighting
299,designer trunk bag
158,kid shoes sports
336,designer jewelry box
316,women branded heels
333,kid branded ballerina costume
9,polo shirt men
392,kid branded superhero cape
225,designer crossbody bag
427,pickup bodybuilding shoes
298,home room dividers
193,designer aviator sunglasses
211,designer tote bag
126,school bag kids
171,home decorative bowls
45,comfortable bra
13,formal suit men
449,ethnic mina work
27,office shirt
19,bedsheet set
139,ethnic dhoti
114,pickup shoes men
207,ethnic jutti
424,home LED strips
283,ethnic handmade jewelry
375,women branded stiletto heels
190,kid ethnic set
133,dog training accessories
448,designer cocktail ring
202,ethnic bangles
122,designer suit
194,baby casual shoes
185,ethnic dhoti pant
62,skinny jeans women
255,baby branded winter wear
265,ethnic beading work
446,baby branded baby car seat
379,home pendant lights
271,designer messenger bag
488,women branded slip on loafers
130,home cushion covers
218,ethnic stone jewelry
104,winter boots
464,ethnic mang tika
203,pickup outdoor shoes
475,kid branded rocket pyjamas
355,kid branded tutu dress
119,laptop messenger bag
322,ethnic dabka work
149,home bedsheet king
80,home decor lamps
443,women branded jelly sandals
456,ethnic hathpanjas
48,trendy shoes
129,ethnic bridal wear
143,ethnic embroidered kurta
315,pickup football shoes
42,designer jeans
450,women branded jelly heels
396,ethnic sterling silver
15,backpack for college
425,designer bracelet watch
497,kid branded rocket themed room
191,home multicolored decor
386,baby branded diaper pants
395,designer charm bracelet
248,kid branded dress
183,casual jacket men
374,ethnic gold jewelry box
175,ethnic choli
53,cotton pajamas men
145,baby romper
303,kid branded uniform
28,party wear
37,winter sweater
243,designer roller bag
493,designer gold chain
231,ethnic stone work
441,ethnic hathphool
215,ethnic kalidar
447,home street lighting
137,home kitchen storage
412,pickup wrestling shoes
89,kid shorts
204,baby diaper bag
222,baby branded dress
383,women branded kitten heels
144,fitness tights
111,half sleeve shirt
473,women branded slip on mules
431,baby branded cradle
335,home towel sets
87,slim fit shirt men
436,ethnic nathni
187,home ceramic accessories
320,home bath linen
199,kid winter jacket
319,baby branded swimsuit
179,home geometric decor
123,ethnic mojri
34,designer handbag
434,ethnic tamba jewelry
219,pickup hiking shoes
278,ethnic silver jewelry
184,women branded cosmetics
343,designer sunglasses case
314,ethnic gotta patti
142,home placemats
20,workout clothes
148,women lingerie
244,ethnic ornamental jewelry
348,baby branded onesie set
296,kid branded dress set
346,ethnic kundan jewelry
